"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2021,11,2,"Eixample",7,"la Dreta de l'Eixample",29680,"3.9"
2021,11,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29603,"4.0"
2021,11,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38135,"4.7"
2021,11,2,"Eixample",10,"Sant Antoni",26119,"5.0"
2021,11,3,"Sants-Montjuïc",11,"el Poble Sec",28970,"6.3"
2021,11,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",939,"10.8"
2021,11,3,"Sants-Montjuïc",13,"la Marina de Port",20593,"7.7"
2021,11,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6792,"6.8"
2021,11,3,"Sants-Montjuïc",15,"Hostafrancs",11123,"5.6"
2021,11,3,"Sants-Montjuïc",16,"la Bordeta",12663,"5.8"
2021,11,3,"Sants-Montjuïc",17,"Sants - Badal",16520,"4.7"
2021,11,3,"Sants-Montjuïc",18,"Sants",29724,"5.0"
2021,11,4,"Les Corts",19,"les Corts",27804,"5.3"
2021,11,4,"Les Corts",20,"la Maternitat i Sant Ramon",14388,"5.3"
2021,11,4,"Les Corts",21,"Pedralbes",6940,"2.8"
2021,11,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3145,"2.7"
2021,11,5,"Sarrià-Sant Gervasi",23,"Sarrià",14867,"2.9"
2021,11,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9892,"3.3"
2021,11,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15912,"3.2"
2021,11,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29730,"3.0"
2021,11,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19256,"4.2"
2021,11,6,"Gràcia",28,"Vallcarca i els Penitents",10354,"5.2"
2021,11,6,"Gràcia",29,"el Coll",5100,"4.3"
2021,11,6,"Gràcia",30,"la Salut",8343,"5.4"
